Symbol,Name,거래소(시장),FnGuide Sector,FnGuide Industry Group,FnGuide Industry,한국표준산업분류11차(대분류),한국표준산업분류11차(중분류),한국표준산업분류11차(소분류),신용등급 (채권),신용등급 (CP),최대주주등 주주명-상장협(분기)
A017960,한국카본,유가증권시장,소재,소재,화학,제조업,금속가공제품 제조업; 기계 및 가구 제외,"구조용 금속제품, 탱크 및 증기발생기 제조업",,,조문수외 5인
A077970,STX엔진,유가증권시장,산업재,자본재,조선,제조업,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,,,(주)STX
A161890,한국콜마,유가증권시장,필수소비재,생활용품,개인생활용품,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,A,A2,한국콜마 홀딩스(주)외 11인
A003540,대신증권,유가증권시장,금융,증권,증권,금융 및 보험업,금융 및 보험 관련 서비스업,금융 지원 서비스업,AA-,A1,양홍석외 7인
A007390,네이처셀,코스닥,필수소비재,음식료 및 담배,음료,제조업,의료용 물질 및 의약품 제조업,기초 의약 물질 제조업,,,"바이오스타코리아 (구, (주)케이내츄럴 )"
A003090,대웅,유가증권시장,의료,제약 및 바이오,제약,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,,,윤재승외 19인
A000500,가온전선,유가증권시장,산업재,자본재,전기장비,제조업,전기장비 제조업,절연선 및 케이블 제조업,A,A2,구자홍외 17인
A035760,CJ ENM,코스닥,경기소비재,유통,온라인쇼핑,정보통신업,방송 및 영상·오디오물 제공 서비스업,텔레비전 방송업,AA-,A1,CJ(주)외 4인
A001800,오리온홀딩스,유가증권시장,필수소비재,음식료 및 담배,식료품,금융 및 보험업,금융업,기타 금융업,NA,A1,이화경외 7인
A005440,현대지에프홀딩스,유가증권시장,경기소비재,소비자 서비스,호텔 및 레저,"전문, 과학 및 기술 서비스업",전문 서비스업,회사 본부 및 경영 컨설팅 서비스업,AA+,A1,정교선외 3인
A036930,주성엔지니어링,코스닥,IT,반도체,반도체 및 관련장비,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,,,황철주외 4인
A000080,하이트진로,유가증권시장,필수소비재,음식료 및 담배,음료,제조업,음료 제조업,알코올음료 제조업,A+,A2+,하이트진로 홀딩스(주)외 18인
A000670,영풍,유가증권시장,소재,소재,금속 및 광물,제조업,1차 금속 제조업,1차 비철금속 제조업,,,장 세 준외 14인
A001120,LX인터내셔널,유가증권시장,산업재,자본재,무역,도매 및 소매업,도매 및 상품 중개업,상품 중개업,AA-,NA,구본준외 43인
A096530,씨젠,코스닥,의료,제약 및 바이오,바이오,제조업,의료용 물질 및 의약품 제조업,의료용품 및 기타 의약 관련제품 제조업,,,천종윤외 22인
